term,week,program,course_code,section_id,n_students,n_pass,avg_score
2024-T3,1,CS,DATA101,CS-001,43,41,96.48
2024-T3,2,CS,DATA101,CS-001,45,41,92.52
2024-T3,3,CS,DATA101,CS-001,48,42,99.92
2024-T3,4,CS,DATA101,CS-001,49,43,97.55
2024-T3,5,CS,DATA101,CS-001,54,47,99.51
2024-T3,6,CS,DATA101,CS-001,48,44,100.0
2024-T3,7,CS,DATA101,CS-001,44,40,100.0
2024-T3,8,CS,DATA101,CS-001,42,38,100.0
2024-T3,9,CS,DATA101,CS-001,48,39,95.52
2024-T3,10,CS,DATA101,CS-001,53,52,97.6
2024-T3,11,CS,DATA101,CS-001,47,42,96.1
2024-T3,12,CS,DATA101,CS-001,53,45,100.0
2024-T3,13,CS,DATA101,CS-001,49,41,100.0
2024-T3,14,CS,DATA101,CS-001,44,34,100.0
2024-T3,15,CS,DATA101,CS-001,49,36,89.74
2024-T3,16,CS,DATA101,CS-001,50,40,100.0
2024-T3,17,CS,DATA101,CS-001,52,47,99.5
2024-T3,18,CS,DATA101,CS-001,46,42,96.59
2024-T3,19,CS,DATA101,CS-001,46,35,100.0
2024-T3,20,CS,DATA101,CS-001,45,33,95.49
2024-T3,1,CS,DATA101,CS-002,34,28,100.0
2024-T3,2,CS,DATA101,CS-002,26,25,96.56
2024-T3,3,CS,DATA101,CS-002,28,27,96.87
2024-T3,4,CS,DATA101,CS-002,24,20,91.62
2024-T3,5,CS,DATA101,CS-002,33,27,91.19
2024-T3,6,CS,DATA101,CS-002,31,27,97.73
2024-T3,7,CS,DATA101,CS-002,29,26,100.0
2024-T3,8,CS,DATA101,CS-002,33,30,100.0
2024-T3,9,CS,DATA101,CS-002,34,29,95.35
2024-T3,10,CS,DATA101,CS-002,30,25,98.45
2024-T3,11,CS,DATA101,CS-002,25,24,97.11
2024-T3,12,CS,DATA101,CS-002,32,27,96.86
2024-T3,13,CS,DATA101,CS-002,40,36,97.65
2024-T3,14,CS,DATA101,CS-002,28,21,100.0
2024-T3,15,CS,DATA101,CS-002,31,26,96.26
2024-T3,16,CS,DATA101,CS-002,36,32,100.0
2024-T3,17,CS,DATA101,CS-002,35,30,100.0
2024-T3,18,CS,DATA101,CS-002,24,20,95.79
2024-T3,19,CS,DATA101,CS-002,27,27,94.09
2024-T3,20,CS,DATA101,CS-002,34,26,100.0
2024-T3,1,CS,DATA101,CS-003,67,54,94.05
2024-T3,2,CS,DATA101,CS-003,63,56,100.0
2024-T3,3,CS,DATA101,CS-003,65,54,100.0
2024-T3,4,CS,DATA101,CS-003,63,51,100.0
2024-T3,5,CS,DATA101,CS-003,63,57,100.0
2024-T3,6,CS,DATA101,CS-003,65,58,93.25
2024-T3,7,CS,DATA101,CS-003,71,60,100.0
2024-T3,8,CS,DATA101,CS-003,61,54,100.0
2024-T3,9,CS,DATA101,CS-003,62,57,100.0
2024-T3,10,CS,DATA101,CS-003,66,61,94.25
2024-T3,11,CS,DATA101,CS-003,67,62,100.0
2024-T3,12,CS,DATA101,CS-003,65,58,100.0
2024-T3,13,CS,DATA101,CS-003,70,60,92.69
2024-T3,14,CS,DATA101,CS-003,66,59,85.2
2024-T3,15,CS,DATA101,CS-003,70,57,97.48
2024-T3,16,CS,DATA101,CS-003,73,68,99.7
2024-T3,17,CS,DATA101,CS-003,62,54,99.94
2024-T3,18,CS,DATA101,CS-003,68,62,97.22
2024-T3,19,CS,DATA101,CS-003,58,48,96.77
2024-T3,20,CS,DATA101,CS-003,62,56,100.0
2024-T3,1,CS,DATA101,CS-004,72,61,93.64
2024-T3,2,CS,DATA101,CS-004,68,62,92.73
2024-T3,3,CS,DATA101,CS-004,65,53,94.11
2024-T3,4,CS,DATA101,CS-004,73,60,92.84
2024-T3,5,CS,DATA101,CS-004,70,59,90.3
2024-T3,6,CS,DATA101,CS-004,66,61,98.07
2024-T3,7,CS,DATA101,CS-004,69,54,98.11
2024-T3,8,CS,DATA101,CS-004,72,65,100.0
2024-T3,9,CS,DATA101,CS-004,72,60,100.0
2024-T3,10,CS,DATA101,CS-004,70,60,98.23
2024-T3,11,CS,DATA101,CS-004,67,57,95.92
2024-T3,12,CS,DATA101,CS-004,75,64,95.33
2024-T3,13,CS,DATA101,CS-004,66,55,97.85
2024-T3,14,CS,DATA101,CS-004,71,60,98.55
2024-T3,15,CS,DATA101,CS-004,69,57,93.26
2024-T3,16,CS,DATA101,CS-004,68,60,98.13
2024-T3,17,CS,DATA101,CS-004,72,62,98.33
2024-T3,18,CS,DATA101,CS-004,75,68,100.0
2024-T3,19,CS,DATA101,CS-004,66,55,94.13
2024-T3,20,CS,DATA101,CS-004,73,61,95.07
2024-T3,1,CS,DATA101,CS-005,78,68,98.1
2024-T3,2,CS,DATA101,CS-005,76,66,100.0
2024-T3,3,CS,DATA101,CS-005,69,66,95.84
2024-T3,4,CS,DATA101,CS-005,70,63,100.0
2024-T3,5,CS,DATA101,CS-005,70,55,100.0
2024-T3,6,CS,DATA101,CS-005,67,54,100.0
2024-T3,7,CS,DATA101,CS-005,72,59,99.27
2024-T3,8,CS,DATA101,CS-005,74,69,100.0
2024-T3,9,CS,DATA101,CS-005,72,59,98.47
2024-T3,10,CS,DATA101,CS-005,72,66,97.32
2024-T3,11,CS,DATA101,CS-005,77,66,99.59
2024-T3,12,CS,DATA101,CS-005,72,61,97.35
2024-T3,13,CS,DATA101,CS-005,72,60,98.14
